"model","deviceCategory","deviceSku","simSku","prepaidSku","cpoSku","cpoPrepaidSku","visionSku","upcCode","url"
"Samsung Silicone Cover for Samsung Galaxy S21 FE 5G - Lavender","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24639.html"
"Samsung Silicone Cover for Samsung Galaxy S21 FE 5G - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24638.html"
"Samsung Samsung Galaxy S21 Ultra 5G Silicone Cover + S-Pen","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23334.html"
"GEAR4 Havana Case Black for Samsung Galaxy S21 FE","","GEA702008874-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24558.html"
"OtterBox Symmetry Series for Samsung Galaxy S21 FE - Black","","77-83960","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24514.html"
"OtterBox Symmetry Series for Samsung Galaxy S21 FE - Clear","","77-83967","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24515.html"
"Samsung Clear Standing Cover for Samsung Galaxy S21 FE 5G - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24637.html"
"UAG Pathfinder for Samsung Galaxy S21 FE 5G - Black","","UAG213127114040","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24703.html"
"OtterBox Defender Series Pro for Samsung Galaxy S21 FE - Black","","77-85101","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24513.html"
"Spigen Core Armor for Samsung Galaxy S21 FE 5G - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=25399.html"
"Case-Mate Twinkle Ombre for Samsung Galaxy S21 FE 5G - Stardust","","CM046292-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24748.html"
"Incipio Duo for Samsung Galaxy S21 FE 5G - Salsa Red/Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24753.html"
"Speck Presidio Exotech for Samsung Galaxy S21 FE 5G - Coastal Blue","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26043.html"
"Pelican Glass Lens Protector for Samsung Galaxy S21 FE 5G (R9) - Clear","","PP051972-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=27884.html"
"Tech21 Evo Check for Samsung Galaxy S21 FE 5G - Smokey / Black","","T21-9080","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24483.html"
"Verizon Blue Light Tempered Glass Screen Protector for Samsung Galaxy S21 FE 5G - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24811.html"
"Kate Spade New York Protective Hardshell Case for Samsung Galaxy S21 FE 5G - Hollyhock Floral Clear","","KSSA-076-HHCCS-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24313.html"
"Duo Case for Samsung Galaxy S21+ - Indigo Blue","","SA-1094-IND","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23641.html"
"Spigen ThinFit for Samsung Galaxy S21+ 5G, Black","","SPGAC0S2382","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23858.html"
"Smart Tag2 Tracker - White","","EI-T5600BWEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=28462.html"
"S-Pen Pro - Black","","EJ-P5450SBEVZW","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24712.html"
"Galaxy S21 5G","5G Smartphone","SMG991UZVV","DFILLSIM5G-SA-A","N/A","N/A","N/A","51216","887276511399","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9905.html"
"Galaxy S21+ 5G","5G Smartphone","SMG996UZVV","DFILLSIM5G-SA-A","N/A","N/A","N/A","51221","887276515212","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9909.html"
"Galaxy S21 Ultra 5G","5G Smartphone","SMG998UZSV","DFILLSIM5G-SA-A","N/A","N/A","N/A","51224","887276513263","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9901.html"
"Galaxy S21 FE 5G","5G Smartphone","SMG990UZAV","DFILLSIM5G-SA-A","N/A","N/A","N/A","53540","887276552019","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10213.html"
"Samsung Samsung Galaxy S21 Ultra 5G Silicone Cover + S-Pen","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23334.html"
"Galaxy S21 FE 5G (2022)","5G Smartphone","SMG990ULVV2","DFILLSIM5G-SA-A","N/A","N/A","N/A","59191","N/A","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10351.html"
"Galaxy S21 FE 5G Best Buy","5G Smartphone","SMG990UZBV","DFILLSIM5G-SA-A","N/A","N/A","N/A","53544","N/A","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10222.html"
"Duo Case for Samsung Galaxy S21+ - Indigo Blue","","SA-1094-IND","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23641.html"
"Spigen ThinFit for Samsung Galaxy S21+ 5G, Black","","SPGAC0S2382","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23858.html"
"Duo Case for Samsung Galaxy S21 - Black","","SA-1093-BLK","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=23634.html"
"Samsung Silicone Cover for Samsung Galaxy S21 FE 5G - Lavender","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24639.html"
"Samsung Silicone Cover for Samsung Galaxy S21 FE 5G - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24638.html"
"GEAR4 Havana Case Black for Samsung Galaxy S21 FE","","GEA702008874-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24558.html"
"OtterBox Symmetry Series for Samsung Galaxy S21 FE - Black","","77-83960","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24514.html"
"OtterBox Symmetry Series for Samsung Galaxy S21 FE - Clear","","77-83967","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24515.html"
